Task #,Title,Part,Epic,Status,Priority,Notes
1.1,Create VPS server and add credentials to GitHub Actions secrets,DevOps & Infrastructure,,Done,High,VPS 178.105.216.147; VPS_HOST/USER/SSH_KEY + FIREBASE_SERVICE_ACCOUNT secrets set
1.2,Buy domain name (anzeigenboost.de),DevOps & Infrastructure,,Pending,High,Use anzeigenboost.de NOT kleinanzeigen-* (trademark); then A api->VPS + Firebase domain + certbot
1.3,Test GitHub Actions deployment workflow,DevOps & Infrastructure,,Done,High,All 3 deploy workflows green
1.4,Test Firebase deployment (frontend),DevOps & Infrastructure,,Done,High,Action succeeds; also deployed manually
1.5,Test landing page deployment,DevOps & Infrastructure,,Done,High,Live https://kleinanzeigen-app.web.app
1.6,Deploy backend to VPS,DevOps & Infrastructure,,Done,High,PM2 anzeigenboost-api 3000 + nginx 80; Firestore connected; health OK
1.7,Deploy frontend to Firebase,DevOps & Infrastructure,,Done,High,Live; dashboard needs https API (domain)
1.8,Command to cleanup Firestore data for testing,DevOps & Infrastructure,,Done,Medium,npm run cleanup:firestore -- --user <id> or --all --yes; works in real + mock mode
1.9,VPS provisioning script for any new VPS,DevOps & Infrastructure,,Done,Medium,scripts/provision-vps.sh (Node 20 PM2 nginx Chrome browser-libs ufw)
1.10,Migrate deployment to Docker + docker-compose,DevOps & Infrastructure,,Pending,Low,Future - see issue #24; current PM2 setup works
2.1,Publish Chrome extension to Chrome Web Store,Chrome Extension,,Pending,High,Update ENDPOINTS to prod URLs first; listing copy drafted
2.2,Generate logo for the extension (icon + branding),Chrome Extension,,Pending,High,
2.3,Prepare Kleinanzeigen profile for testing/demo,Chrome Extension,,Pending,Medium,
3.1,Add pagination for ads synchronization,Frontend & UX,,Done,Medium,Client-side pagination 12/page (commit 047f917f)
3.2,Add better loading spinner during sync,Frontend & UX,,Pending,Medium,Small corner spinner exists; polish pass
4.1,Document AI credits/limits per plan,Documentation & Monetization,,Done,High,docs/AI_AND_MONETIZATION.md; gated by MONETIZATION_ENABLED flag (default off)
4.2,Document which AI models are used,Documentation & Monetization,,Done,High,docs/AI_AND_MONETIZATION.md (free-first Gemini + OpenRouter chain)
4.3,Document payment setup (Stripe/PayPal),Documentation & Monetization,,In Progress,High,Stripe integration plan documented; not yet implemented
4.4,Define monetization strategy,Documentation & Monetization,,In Progress,High,Proposed tiers/pricing/prompts documented; MONETIZATION_ENABLED flag built; pricing not validated
5.1,Add category-specific posting guides,POST-SMARTER,POST-SMARTER,Deferred,Medium,Static tips low value (commodity); POC removed
5.2,Add AI photo feedback,POST-SMARTER,POST-SMARTER,Deferred,Medium,Photo-quality coaching is the only non-redundant slice; revisit if users ask
5.3,Add pricing recommendations from similar sold items,POST-SMARTER,POST-SMARTER,Deferred,Medium,Redundant with existing suggestPrice
5.4,Add Why upgrade to Pro educational prompts,POST-SMARTER,POST-SMARTER,Deferred,Medium,Marketing prompt; revisit post-launch
6.1,Integrate IP proxy rotation to prevent bans,Security & Anti-Ban,,Deferred,Medium,Not needed at low volume; per-user sticky German residential IPs when bans appear (see issue #22)
6.2,Manual testing of main features before production,Security & Anti-Ban,,Pending,High,Test scenarios reviewed in dev; needs formal pass
